Month - Year,Canasta Basica Alimentaria,Canasta Basica Total
April-16,1514.53,3663.66
May-16,1561.35,3830.77
June-16,1614.32,3942.67
July-16,1666.48,4033.76
August-16,1675.05,4041.87
September-16,1711.22,4089.82
October-16,1739.34,4191.81
November-16,1762.65,4247.99
December-16,1766.62,4257.55
January-17,1789.15,4311.85
February-17,1821.02,4425.08
March-17,1876.56,4560.04
April-17,1915.47,4692.9
May-17,1937.24,4746.24
June-17,1956.42,4793.23
July-17,1984.64,4862.37
August-17,2021.98,4933.63
September-17,2049.39,5000.51
October-17,2079.23,5073.32
November-17,2125.84,5187.05
December-17,2150.29,5397.23
January-18,2197.26,5493.15
February-18,2261.23,5675.69
March-18,2294.56,5782.29
April-18,2308.11,5908.76
May-18,2418.65,6095
June-18,2537.45,6343.62
July-18,2627.37,6515.88
August-18,2701.48,6753.7
September-18,2931.88,7300.38
October-18,3150.62,7845.04
November-18,3276.02,8157.29
December-18,3300.17,8250.42
January-19,3423.03,8557.58
February-19,3597.77,8922.47
March-19,3767.01,9304.51
April-19,3833.28,9544.87
May-19,3911.58,9818.07
June-19,4016.09,10080.39
July-19,4133.91,10334.77
August-19,4290.72,10683.89
September-19,4502.88,11257.2
October-19,4596.2,11536.46
November-19,4886.34,12166.99
December-19,5043.41,12608.52
January-20,5332.94,13065.7
February-20,5432.32,13200.54
March-20,5615.94,13590.57
April-20,5791.79,13784.46
May-20,5785.01,13941.87
June-20,5834.66,14178.22
July-20,5929.29,14408.17
August-20,6081.69,14717.69
September-20,6288.17,15280.25
October-20,6702.33,16152.62
November-20,6981.61,16755.86
December-20,7340.12,17542.89
January-21,7677.09,18271.47
February-21,7953.14,18769.41
March-21,8312.33,19700.22
April-21,8633.31,20374.61
May-21,8874.89,20855.99
June-21,9195.41,21517.26
July-21,9386.04,21869.47
August-21,9454.13,22122.66
September-21,9713.21,22826.04
October-21,10008.2,23419.19
November-21,10266.79,23921.62
December-21,10667.86,24642.76
January-22,11111.27,25444.81
February-22,12108.08,27122.1
March-22,12900.45,29026.01
April-22,13762.77,30828.6
May-22,14400.84,32257.88
June-22,15056.75,33727.12
July-22,16008.28,36018.63
August-22,17148.8,38756.29
September-22,18359.84,41493.24
October-22,20098.92,45222.57
November-22,20715.93,47232.32
December-22,21743.48,49357.7
January-23,23315.04,52925.14
February-23,26046.32,57301.9
March-23,28388.12,61886.1
April-23,30468.76,65812.52
May-23,32055.87,70522.91
June-23,33730.51,75219.04
July-23,36130.15,80570.23
August-23,42262.25,92131.7
September-23,47857.79,103372.83
October-23,51974.93,111746.1
November-23,59886.86,126361.27
December-23,77889.58,160452.53
January-24,92414.67,193146.66
February-24,104482.59,223592.74
March-24,115873.35,250286.44
April-24,120726.29,268012.36
May-24,125235.49,275518.08
June-24,127287.79,282578.89
July-24,131293.57,291471.73
August-24,136399.3,304170.44
September-24,138744.31,312174.7
October-24,140653.57,319283.6
November-24,142148.73,324099.1
December-24,145408.96,331532.43
January-25,146726.23,334535.8